309,snow,"kawo, kao",,ཁ་བོ་,,BLDWG
310,windy,lung-ma,,རླུང་མ་,,BLDWG
311,sunny,nyim shar ,,ཉི་མ་ཤར་,,BLDWG
312,"hygiene, cleanliness, free from dirt, clean","tsang-mu, zangmo",,གཙང་མུ་,,BLDWG
313,wash,sil,kyu,བསིལ་,ཁྱུ་,BLDWG
314,small plate,lichung,,ལི་ཆུང་,,2001
315,"couple, married couple","zatsang, zaku",,"བཟའ་ཚང་, བཟའ་ཀོ་",,2001
316,shoes,zhab ja,lham,ཞབས་ཆ་,ལྷམ་,2001
317,bag,surgeb,geb,སུར་གྱབ་,"གྱབ་, འགེབ་","2001, 2004 [2005]"
318,small,chung,,ཆུང་,,2004 [2005]
319,mirror,me-long,,མེ་ལོང་,,BLDWG
320,"research center, institute",nyamship-khang,,ཉམ་ཞིབ་ཁང་,,2001
321,"necessary, need[ed], want[ed]","kho, gopo",,"མཁོ་, དགོས་པོ་",,2004 [2005]
